time,feed_c,out_c,feed_f,out_f,pressure,out_f_setting,out_c_setting,reward,error,sum_error,done
2021/6/25 2:05,26.19185727,63.5636089,605.9376155,119.2563529,52.08121572,120,65.5,-3.749610492,1.9363911,3.423392334,0
2021/6/25 2:10,30.08978189,63.8269926,568.5310118,119.4170158,51.9247893,120,65.5,-2.79895376,1.6730074,3.384703567,0
2021/6/25 2:15,24.46517315,64.11002595,553.192393,117.7207266,51.87347005,120,65.5,-1.93202786,1.38997405,3.082325834,0
2021/6/25 2:20,27.08033047,63.51661203,607.4888008,118.6421752,52.02087644,120,65.5,-3.93382784,1.98338797,3.524550887,0
2021/6/25 2:25,26.66386841,63.42221692,561.8910212,115.686674,51.69367362,120,65.5,-4.317182528,2.07778308,3.840058523,0
2021/6/25 2:30,26.60626679,64.21027289,646.8426484,121.6241732,52.19816284,120,65.5,-1.663396018,1.28972711,3.209756372,0
2021/6/25 2:35,26.38414606,63.44299097,574.9742416,116.3366903,51.50975327,120,65.5,-4.23128615,2.05700903,3.661887216,0
2021/6/25 2:40,25.36567225,64.11480879,612.9992523,123.5756374,51.98135431,120,65.5,-1.918754688,1.38519121,3.216134818,0
2021/6/25 2:45,27.21556244,62.74170891,583.1716431,119.9336058,51.55365338,120,65.5,-7.608169737,2.75829109,4.366358499,0
2021/6/25 2:50,24.12284221,63.49821049,531.6252716,112.5122307,52.29716784,120,65.5,-4.007161242,2.00178951,4.184968759,0
2021/6/25 2:55,30.88622526,62.84505973,595.8310846,117.1420413,51.92973111,120,65.5,-7.048707837,2.65494027,4.74742465,0
2021/6/25 3:00,24.87076834,63.98628078,531.1338182,111.1214547,52.24023712,120,65.5,-2.291345877,1.51371922,3.887431545,0
2021/6/25 3:05,29.92756915,62.74184862,702.0230075,128.0536991,51.57114145,120,65.5,-7.607399035,2.75815138,4.701867152,0
2021/6/25 3:10,32.15468343,63.09791609,655.8627762,113.506243,52.24914127,120,65.5,-5.770007111,2.40208391,4.753017486,0
2021/6/25 3:15,29.89002695,62.20327295,705.2231193,121.4094212,52.41815478,120,65.5,-10.86840924,3.29672705,5.673235793,0
2021/6/25 3:20,27.83520633,62.72800685,649.6474143,117.8454129,52.40430532,120,65.5,-7.683946024,2.77199315,5.608611047,0
2021/6/25 3:25,27.32375301,61.90628028,694.3551017,130.3008708,52.12966665,120,65.5,-12.91482143,3.59371972,6.398025243,0
2021/6/25 3:30,29.85024174,62.46558499,632.2384864,118.6071989,52.26263221,120,65.5,-9.207674453,3.03441501,6.233427632,0
2021/6/25 3:35,28.04759242,61.98450986,670.6728507,127.0060582,52.72991002,120,65.5,-12.35867092,3.51549014,6.632203956,0
2021/6/25 3:40,26.71202606,62.24836391,665.9613951,119.7826913,52.7528183,120,65.5,-10.57313726,3.25163609,6.567738068,0
2021/6/25 3:45,29.15422103,62.55519211,685.4915768,116.1563282,52.0840538,120,65.5,-8.671893509,2.94480789,6.228676924,0
2021/6/25 3:50,32.78076693,62.18227139,761.4447883,122.9795157,52.50458619,120,65.5,-11.00732313,3.31772861,6.432067072,0
2021/6/25 3:55,29.06388124,61.67456547,769.0385602,119.8729501,52.50170796,120,65.5,-14.63394934,3.82543453,7.041468066,0
2021/6/25 4:00,27.47308627,62.23202454,748.9276184,113.8231384,52.50529417,120,65.5,-10.67966361,3.26797546,6.788709493,0
2021/6/25 4:05,27.58694947,61.44006351,762.29779,118.3941573,52.76596082,120,65.5,-16.4830843,4.05993649,7.454291236,0
2021/6/25 4:10,27.47302767,62.62352155,761.6364873,119.9970822,53.30437288,120,65.5,-8.274128273,2.87647845,6.603624068,0
2021/6/25 4:15,27.00949763,61.67927994,760.334135,134.6349405,53.73877657,120,65.5,-14.59790178,3.82072006,7.122532094,0
2021/6/25 4:20,25.21166406,62.26135814,603.173848,107.0611308,53.10136579,120,65.5,-10.4888011,3.23864186,6.799907907,0
2021/6/25 4:25,26.20939121,61.40169784,667.0984524,128.3019807,53.7471392,120,65.5,-16.79608059,4.09830216,7.498256114,0
2021/6/25 4:30,23.70859324,62.72223162,584.4313831,102.0645845,53.60888088,120,65.5,-7.715997173,2.77776838,6.526896437,0
2021/6/25 4:35,25.48360918,61.64445893,571.9487116,129.5375847,54.10179774,120,65.5,-14.86519694,3.85554107,7.118989288,0
2021/6/25 4:40,26.43084599,62.32786339,543.164802,110.0044372,53.62594887,120,65.5,-10.06245067,3.17213661,6.731631254,0
2021/6/25 4:45,28.96438326,62.26090796,594.9014527,122.3611124,54.04116548,120,65.5,-10.49171724,3.23909204,6.604907667,0
2021/6/25 4:50,27.03029293,61.3805135,606.478635,142.9652312,53.44640305,120,65.5,-16.97016902,4.1194865,7.421940334,0
2021/6/25 4:55,28.10745619,62.19869689,621.4400879,118.7940407,54.20222621,120,65.5,-10.89860222,3.30130311,7.012273277,0
