time,feed_c,out_c,feed_f,out_f,pressure,out_f_setting,out_c_setting,reward,error,sum_error,done
2021/6/24 22:45,7.062874627,65.52476722,0.570964617,120.04532569999999,56.27418925,120.0,65.5,-0.000613415,-0.02476722,-0.02476722,0
2021/6/24 22:50,9.820479417,65.54131973,153.00847019999998,120.5806735,56.24509277,120.0,65.5,-0.00170732,-0.04131973,-0.058656784,0
2021/6/24 22:55,8.771817768,64.32484984,594.8339128,128.9555351,55.39387395,120.0,65.5,-1.3809778990000001,1.17515016,1.1340904112,0
2021/6/24 23:00,5.4544026610000005,64.65891174,0.569209356,115.1663523,55.37386916,120.0,65.5,-0.7074294609999999,0.84108826,1.63495154784,0
2021/6/24 23:05,4.459570936,64.01445770000001,0.575706018,117.5977709,53.58735746,120.0,65.5,-2.206835925,1.4855423,2.630008383488,0
2021/6/24 23:10,2.4159679119999997,64.54032846,0.565128831,123.88509779999998,53.95666495,120.0,65.5,-0.920969465,0.95967154,2.8006774084416,0
2021/6/24 23:15,7.108438635,64.03292972,19.27484751,119.83111409999998,53.35577972,120.0,65.5,-2.152295206,1.46707028,3.42754446590912,0
2021/6/24 23:20,4.0675239560000005,64.64045235,356.7497988,112.50552090000001,53.156221900000006,120.0,65.5,-0.7388221629999999,0.85954765,3.258828776136384,0
2021/6/24 23:25,11.8409183,64.16094448,650.0568261,119.1844845,54.19046087,120.0,65.5,-1.793069686,1.33905552,3.6202356632954684,0
2021/6/24 23:30,7.580229182999999,65.13413242,528.1638131,114.29932140000001,54.08067782,120.0,65.5,-0.133859086,0.36586758,2.900032544306828,0
2021/6/24 23:35,9.112030037,65.6069214,565.2556427000001,109.4972555,53.58100699999999,120.0,65.5,-0.011432186,-0.1069214,1.9231013810147792,0
2021/6/24 23:40,6.315448731,64.71508859,589.8982881000001,122.1287498,53.1117569,120.0,65.5,-0.616085922,0.78491141,2.1310823767103453,0
2021/6/24 23:45,9.630524802,65.31240557,649.9067195,122.92963229999998,53.67878504,120.0,65.5,-0.03519167,0.18759443,1.6793520936972417,0
2021/6/24 23:50,6.4290571210000005,64.43107751,508.337867,116.62918300000001,52.60534247,120.0,65.5,-1.14259529,1.06892249,2.2444689555880695,0
2021/6/24 23:55,10.43001682,64.62845364,674.9484731000001,115.7196187,52.13582822,122.91666670000001,65.5,-0.759593058,0.87154636,2.4426746289116483,0
2021/6/25 0:00,9.890223034,64.51177038,578.2276469,141.98821730000003,52.34845751,145.0,65.5,-0.976597782,0.98822962,2.698101860238154,0
2021/6/25 0:05,13.90347462,64.24871932,602.2995262000001,149.4397311,52.47834458,145.0,65.5,-1.56570334,1.25128068,3.139951982166708,0
2021/6/25 0:10,14.01454902,64.42131905,596.8199877000001,142.54651189999998,52.03241153,145.0,65.5,-1.163552592,1.07868095,3.276647337516695,0
2021/6/25 0:15,19.02128927,65.01475379,650.5327632999999,139.99105730000002,51.29293912,145.0,65.5,-0.23546388399999998,0.48524621,2.7788993462616864,0
2021/6/25 0:20,18.23234799,64.76042506,539.856513,144.8372654,51.08571166,145.0,65.5,-0.546971092,0.73957494,2.6848044823831803,0
2021/6/25 0:25,23.45517548,64.18014882,642.9172277000001,145.6815572,51.46805118,145.0,65.5,-1.7420071369999999,1.31985118,3.199214317668226,0
2021/6/25 0:30,23.300601699999998,64.75005375,593.9701409,144.7639268,50.95670158,131.7,65.5,-0.562419378,0.74994625,2.989396272367758,0
2021/6/25 0:35,21.47269675,64.98759886,636.3928009,131.5391488,51.6593093,130.0,65.5,-0.262554928,0.51240114,2.6049785306574305,0
2021/6/25 0:40,26.46999304,64.97803294,617.6437083,129.4000709,51.06956103,130.0,65.5,-0.272449612,0.52196706,2.3454520314602014,0
2021/6/25 0:45,22.31186973,64.36203792,577.9095467,142.4285365,51.80638412,130.0,65.5,-1.294957696,1.13796208,2.779778502022141,0
2021/6/25 0:50,25.96129482,64.21531963,609.4654353,129.3032713,51.26936641,130.0,65.5,-1.6504036530000001,1.28468037,3.2305253214154988,0
2021/6/25 0:55,22.86919775,64.49025491,579.4076569,130.7196791,52.34656713,130.0,65.5,-1.0195851470000001,1.00974509,3.271112814990849,0
2021/6/25 1:00,27.18047389,64.20123644,636.5398822000001,134.3521601,50.97005826,130.0,65.5,-1.686786785,1.29876356,3.5885425304935943,0
2021/6/25 1:05,25.50662886,64.1927217,546.3785986,128.3455478,51.55921919,130.0,65.5,-1.7089765540000001,1.3072783000000001,3.8192580713455158,0
2021/6/25 1:10,27.88093928,64.30333617,621.4504918,125.40162859999998,51.699504499999996,120.4,65.5,-1.4320043219999998,1.19666383,3.870144479941861,0
2021/6/25 1:15,26.490429600000002,64.38313391,566.665772,120.0503108,52.14339493,120.0,65.5,-1.247389863,1.11686609,3.8259672259593023,0
2021/6/25 1:20,26.317818,64.15514254,628.4952057,123.8640898,51.80748189,120.0,65.5,-1.8086415880000002,1.34485746,4.023034518171512,0
2021/6/25 1:25,26.85453757,63.94006587,521.2887755,120.4258969,51.84738668,120.0,65.5,-2.43339449,1.55993413,4.376058292720058,0
2021/6/25 1:30,27.04733346,64.48490324,594.1701747999999,127.6180967,52.13517227,120.0,65.5,-1.030421432,1.01509676,4.078337564904041,0
2021/6/25 1:35,25.50349554,64.35077116,613.6387499,120.24297079999998,51.88076193,120.0,65.5,-1.320726927,1.14922884,4.004065135432828,0
2021/6/25 1:40,30.36906898,63.89740098,666.7999154,122.89759380000001,52.06278608,120.0,65.5,-2.568323619,1.60259902,4.405444614802979,0
