time,feed_c,out_c,feed_f,out_f,out_f_setting,pressure
2022-05-10 09:25:00,17.65320364772926,61.99613422910522,621.0402280315891,140.3894099185391,158.17425785723137,48.51506882382675
2022-05-10 09:30:00,16.564406969280515,62.97086219960217,561.4468953111295,136.3024344380745,169.92278784181264,47.08453493754401
2022-05-10 09:35:00,17.453896176019235,63.33266209534872,629.4992023043958,143.31489370982675,176.43618981679944,46.54701553344566
2022-05-10 09:40:00,16.157693860802606,61.85993820748349,536.887341817211,141.76615286763493,165.00677860258335,47.22100346374366
2022-05-10 09:45:00,18.930741178198325,61.194825550422415,705.753476094543,139.9172553863611,153.5287678782153,47.56231831869052
2022-05-10 09:50:00,20.904178103768597,62.33535883458202,752.0092829589623,136.5362770589188,160.36221908147994,47.092536219278685
2022-05-10 09:55:00,22.130461439132898,63.11907265587176,803.7100629272182,139.53395818075643,171.27996562957685,46.473031930636125
2022-05-10 10:00:00,17.953302302680957,62.71239807775134,697.4900016581064,143.28990412903212,169.60202996147348,46.93832302439804
2022-05-10 10:05:00,15.99622169666799,61.503288747492405,689.3319075927558,140.73317088318163,156.25819953497012,46.64505752563167
2022-05-10 10:10:00,18.08174428259308,62.13030039434708,739.0731781819421,138.39166292318194,159.04689130573095,46.65682611083885
2022-05-10 10:15:00,16.083424727124655,62.783508444462676,667.1780671996831,135.2543975397836,167.4760632866615,45.01656253560749
2022-05-10 10:20:00,16.745594650904895,62.59956019931046,682.5672325303644,144.0866862487853,169.35210088092373,45.38736602783866
2022-05-10 10:25:00,17.114022629735775,62.333883461422644,631.4917433200321,139.10936391448894,162.6222293395901,45.73323241678852
2022-05-10 10:30:00,21.626046398800543,61.84781843694418,842.2778232625068,140.4004977874839,159.88181887309344,46.7125398000059
2022-05-10 10:35:00,20.51548336187897,62.6901228790264,711.3175411987182,138.37951533435384,167.73496965534937,45.071125693180214
2022-05-10 10:40:00,21.789047786395656,62.13521851221685,719.1876657104302,141.3473911597867,162.184289825427,45.13208737037813
2022-05-10 10:45:00,23.918057721456872,62.02407053629699,728.7974910481596,140.4020289866181,161.60394416808782,45.75304432678695
2022-05-10 10:50:00,27.151099903738228,61.7585322875974,705.1328687133603,140.69716102092252,158.03825160725665,45.955903427118834
2022-05-10 10:55:00,25.441798808425094,61.835576346077005,697.9944311319801,138.26412992859113,158.7987750244405,45.01754507446813
2022-05-10 11:00:00,28.933159329093016,62.36749143982447,729.7135048827967,141.07664590454198,164.6770190302618,44.7680949859611
2022-05-10 11:05:00,30.206421287536728,61.89085615031137,721.898058227522,140.85128759765965,159.93568410067326,45.7783762613931
2022-05-10 11:10:00,29.382260495076522,60.97905921130787,740.8623278401475,140.8105536804241,150.19478841570933,46.18975341288569
2022-05-10 11:15:00,32.114749321410606,61.76007084894459,746.8608612060343,138.59791550700592,157.3096149410785,45.176616526289685
2022-05-10 11:20:00,29.326223784131628,61.95259121635249,746.0946744791486,138.1094721094826,160.50854531605208,45.34557843525885
2022-05-10 11:25:00,29.518845469587795,60.91220375061148,754.6709752400504,143.81476669312198,153.8502247501034,46.67541587829902
2022-05-10 11:30:00,27.19609322122971,60.904097989393016,722.6432513427527,139.35026789347708,148.13684875487849,46.55687820434867
2022-05-10 11:35:00,28.924079922364037,61.52620094426112,747.8113143581625,137.22741855622598,152.71216348013803,46.685809148154185
2022-05-10 11:40:00,29.998533174506647,61.27122809727778,713.8938021375694,141.88108332317083,153.95578792573085,45.78389862060619
2022-05-10 11:45:00,29.161790510176797,61.56296552784631,734.8428476969215,140.85003149668867,156.81317345938749,46.86939468383661
2022-05-10 11:50:00,28.915131536489994,61.331886339818894,732.8878071288865,139.6050056711882,152.92909940084385,46.70057910625916
2022-05-10 11:55:00,27.164786965690674,58.31728612518326,682.0721955566213,53.323678569723654,140.78408335368002,48.533000249624365
2022-05-10 12:00:00,28.31201870600333,19.818649898162818,709.3546037190553,1.643301580648667,121.97080522235272,47.77087816874417
2022-05-10 12:05:00,34.66008716265331,0.04999020285799894,722.4253306070777,0.19670727399693755,120.01138669337342,45.36544771829732
2022-05-10 12:10:00,35.4693688710525,0.09390546159123375,792.649311523415,0.19629766163326265,120.01143382826056,46.206842875160255
2022-05-10 12:15:00,27.435465047625044,0.13782072032446854,698.268880310042,0.20032914545346686,120.01148096314778,46.53186384073928
2022-05-10 12:20:00,29.432820420798702,0.1817359790577033,753.7729847208495,0.19666884544300015,120.01152809803493,45.284815165210674
2022-05-10 12:25:00,32.18251675606171,0.2256512377909381,754.7537108357545,0.3770978215701667,120.01157523292207,45.54023969014868
2022-05-10 12:30:00,30.323985711958976,0.26956649652417286,782.6860208129676,2.7419706196651648,120.01162236780935,47.03686358134551
2022-05-10 12:35:00,32.84134122348853,0.31348175525740773,810.710838114395,3.9259984569061612,120.01166950269648,47.02333775838433
2022-05-10 12:40:00,26.696860427862838,0.3573970139906426,733.1093756103338,0.20338542568376672,120.01171663758369,45.6687197706496
2022-05-10 12:45:00,28.491975679390997,0.4013122727238773,735.4297974649884,1.427956281711233,120.01176377247087,45.767975701231926
2022-05-10 12:50:00,30.29568621636099,0.4452275314571122,729.6830890909648,1.6305037869418306,120.01181090735805,48.3675455559666
2022-05-10 12:55:00,33.45534808094862,0.48914279019034707,771.9912169392677,0.3515697514409,120.01185804224522,46.22013993327309
2022-05-10 13:00:00,32.39215111859862,0.5330580489235816,767.5406221516718,0.2624809396757211,120.0119051771324,44.511598551431575
2022-05-10 13:05:00,31.505751850771965,0.5769733076568165,767.5098780313931,0.19953079878067873,120.01195231201959,46.5888106791159
