time,feed_c,out_c,feed_f,out_f,pressure,out_f_setting,out_c_setting,reward,error,sum_error,done
2021-05-29 11:50:00,18.68797482,66.49662828,587.3934473999999,47.88890959,42.06657127,133.13333333333333,52.0,-210.15223148849563,-14.496628279999996,-14.496628279999996,0
2021-05-29 11:55:00,18.51426453,68.55474233,594.7013538,54.95162673,36.22889989,141.11666666666667,52.0,-274.0594936126937,-16.554742329999996,-31.051370609999992,0
2021-05-29 12:00:00,20.82808304,65.20649057,600.5219132999999,137.307769,49.0962546,135.0,52.0,-174.41139317549892,-13.20649057,-44.25786117999999,0
2021-05-29 12:05:00,18.64124408,65.20265399,619.6549775000001,133.0662125,42.64286156,131.36666666666667,52.0,-174.31007237966296,-13.202653990000002,-57.460515169999994,0
2021-05-29 12:10:00,21.93220707,65.28838166,631.9211622,123.59221840000001,43.25457794,130.0,52.0,-176.58108714182433,-13.288381659999999,-70.74889682999999,0
2021-05-29 12:15:00,18.50989894,65.28508221,674.7641632,134.3872749,43.46508258,129.45,52.0,-176.49340932645845,-13.285082209999999,-84.03397903999999,0
2021-05-29 12:20:00,19.9083847,63.68455528,653.3049637,119.2530858,47.55959435,124.53333333333333,52.0,-136.52883209137582,-11.684555279999998,-95.71853431999999,0
2021-05-29 12:25:00,17.38114415,64.59795539,623.3480932,116.828023,47.71664848,120.0,52.0,-158.70848000842994,-12.597955389999996,-108.31648970999998,0
2021-05-29 12:30:00,21.64659906,64.30650372,664.6713621,122.95432360000001,46.41958779,120.0,52.0,-151.45003381037372,-12.306503719999995,-120.62299342999998,0
2021-05-29 12:35:00,17.64719271,64.62545861,617.4782132,110.43866259999999,46.00448153,120.0,52.0,-159.40220511282303,-12.625458609999995,-133.24845203999996,0
2021-05-29 12:40:00,18.566871600000002,63.124931700000005,607.9183221,127.5980855,47.637518799999995,120.0,52.0,-123.764105329665,-11.124931700000005,-144.37338373999995,0
2021-05-29 12:45:00,17.71384807,63.79512043,610.6074722999999,114.64635109999999,47.51517432,120.0,52.0,-139.12486595820332,-11.795120429999997,-156.16850416999995,0
2021-05-29 12:50:00,22.107279000000002,63.3690682,695.7298252999999,118.50147,47.40733141,120.0,52.0,-129.25571173625127,-11.369068200000001,-167.53757236999996,0
2021-05-29 12:55:00,17.97871711,63.43938646,604.0012171,114.426824,46.39627838,120.0,52.0,-130.85956258123136,-11.439386460000001,-178.97695882999997,0
2021-05-29 13:00:00,19.70878203,61.91257166,669.0475094,112.7608749,47.13773639,120.0,52.0,-98.2590769146351,-9.912571659999998,-188.88953048999997,0
2021-05-29 13:05:00,18.55543377,62.79913232,677.7951211,113.40630859999999,47.55352646,120.0,52.0,-116.62125886486855,-10.799132319999998,-199.68866280999998,0
2021-05-29 13:10:00,21.10243695,62.44987994,617.0920014999999,118.90449050000001,48.16703224,120.0,52.0,-109.19999076041445,-10.449879940000002,-210.13854275,0
2021-05-29 13:15:00,21.85594365,62.91544021,751.321553,117.2402813,47.66383921,120.0,52.0,-119.14683497808484,-10.91544021,-221.05398295999998,0
2021-05-29 13:20:00,17.58268658,62.4505036,664.611086,130.44725490000002,47.37882894,120.0,52.0,-109.2130254936129,-10.450503599999998,-231.50448655999998,0
2021-05-29 13:25:00,20.78536321,62.02127736,698.2185445,114.1951909,47.22619743,120.0,52.0,-100.42599992604855,-10.02127736,-241.52576391999997,0
2021-05-29 13:30:00,18.93459586,61.87046479,707.2377428,130.8874752,47.96001834,120.0,52.0,-97.42607517062974,-9.87046479,-251.39622870999997,0
2021-05-29 13:35:00,18.81841105,60.97933454,661.1530016,121.24307900000001,48.13898048,120.0,52.0,-80.62844878123707,-8.979334540000004,-260.37556324999997,0
2021-05-29 13:40:00,19.07484277,62.43606012,650.404572,118.5009271,46.24867045,120.0,52.0,-108.91135082825443,-10.43606012,-270.81162336999995,0
2021-05-29 13:45:00,19.51510161,61.61798672,686.1704368,116.5389592,47.54629351,120.0,52.0,-92.50566854609632,-9.617986719999998,-280.4296100899999,0
2021-05-29 13:50:00,17.50195575,62.23594065,611.8525981,128.1125846,47.07324079,120.0,52.0,-104.77448099032249,-10.235940650000003,-290.66555073999996,0
2021-05-29 13:55:00,20.53242075,61.86555642,722.1812424999999,129.5842804,47.30056239,120.0,52.0,-97.32920347620316,-9.865556419999997,-300.53110716,0
2021-05-29 14:00:00,17.77390401,62.15255177,623.3936729,122.08458770000001,46.21141701,120.0,52.0,-103.07430744253018,-10.152551770000002,-310.68365893,0
2021-05-29 14:05:00,19.77018092,60.92845202,668.732392,126.6996034,46.88640967,120.0,52.0,-79.71725547344211,-8.928452020000002,-319.61211095,0
2021-05-29 14:10:00,17.15449401,62.35347728,622.3825984,118.2912628,47.12974442,120.0,52.0,-107.1944917874762,-10.35347728,-329.96558823,0
2021-05-29 14:15:00,21.09571107,62.10248159,723.3615636,120.1621636,47.11055239,120.0,52.0,-102.06013427628886,-10.102481589999996,-340.06806982,0
2021-05-29 14:20:00,17.78285211,62.8808941,610.7259303,123.16539409999999,46.95537122,120.0,52.0,-118.39385641541479,-10.880894099999999,-350.94896392,0
2021-05-29 14:25:00,20.17813272,61.20895523,692.0573992999999,115.793228,46.53850136,120.0,52.0,-84.80485642814436,-9.20895523,-360.15791915,0
2021-05-29 14:30:00,18.32774122,61.61543308,632.953118,121.66414099999999,47.26415021,120.0,52.0,-92.45655331595833,-9.615433080000003,-369.77335223,0
2021-05-29 14:35:00,17.93576838,61.60646523,679.9456777,115.35606029999998,47.18749517,120.0,52.0,-92.28417421519892,-9.606465229999998,-379.37981746,0
